RESPONSE KEYS: status,framework,code,fileExtension,imports,warnings,validationReceipt,errors,meta
cmos-messages-redesign/react/full: status=error artifact=no {"OODS-N015":1}
cmos-messages-redesign/react/pruned: status=ok artifact=yes {}
cmos-messages-redesign/vue/full: status=error artifact=no {"OODS-N015":1}
cmos-messages-redesign/vue/pruned: status=ok artifact=yes {}
plan-form-dark/react/full: status=error artifact=no {"OODS-N015":1}
plan-form-dark/react/pruned: status=ok artifact=yes {}
plan-form-dark/vue/full: status=error artifact=no {"OODS-N015":1}
plan-form-dark/vue/pruned: status=ok artifact=yes {}
pt-shop-parts-entry-router-v1/react/full: status=error artifact=no {"OODS-N015":1}
pt-shop-parts-entry-router-v1/react/pruned: status=ok artifact=yes {}
pt-shop-parts-entry-router-v1/vue/full: status=error artifact=no {"OODS-N015":1}
pt-shop-parts-entry-router-v1/vue/pruned: status=ok artifact=yes {}
user-card-showcase/react/full: status=error artifact=no {"OODS-N015":1}
user-card-showcase/react/pruned: status=ok artifact=yes {}
user-card-showcase/vue/full: status=error artifact=no {"OODS-N015":1}
user-card-showcase/vue/pruned: status=ok artifact=yes {}
cmos-dashboard-redesign/react/full: status=error artifact=no {"OODS-N015":2}
cmos-dashboard-redesign/react/pruned: status=ok artifact=yes {}
cmos-dashboard-redesign/vue/full: status=error artifact=no {"OODS-N015":2}
cmos-dashboard-redesign/vue/pruned: status=ok artifact=yes {}
the-academy-landing-v1/react/full: status=error artifact=no {"OODS-N015":3}
the-academy-landing-v1/react/pruned: status=ok artifact=yes {}
the-academy-landing-v1/vue/full: status=error artifact=no {"OODS-N015":3}
the-academy-landing-v1/vue/pruned: status=ok artifact=yes {}
