[baseline-browser-mapping] The data in this module is over two months old.  To ensure accurate Baseline data, please update: `npm i baseline-browser-mapping@latest -D`
   ▲ Next.js 16.0.10 (webpack)
   - Local:         http://127.0.0.1:62011
   - Network:       http://127.0.0.1:62011

 ✓ Starting...
 ✓ Ready in 1320ms
 GET / 200 in 579ms (compile: 560ms, render: 20ms)
 GET / 200 in 6ms (compile: 2ms, render: 4ms)
 GET / 200 in 6ms (compile: 1102µs, render: 5ms)
 GET / 200 in 6ms (compile: 1844µs, render: 4ms)
 GET / 200 in 6ms (compile: 1226µs, render: 4ms)
 GET / 200 in 5ms (compile: 965µs, render: 4ms)
 GET / 200 in 4ms (compile: 894µs, render: 4ms)
 GET /evidence?project_id=project-palette 200 in 368ms (compile: 360ms, render: 8ms)
 GET /evidence?project_id=project-palette 200 in 5ms (compile: 1018µs, render: 4ms)
 GET /evidence?project_id=project-palette 200 in 5ms (compile: 1027µs, render: 4ms)
 GET /evidence?project_id=project-palette 200 in 5ms (compile: 765µs, render: 4ms)
 GET /evidence?project_id=project-palette 200 in 4ms (compile: 647µs, render: 4ms)
 GET /evidence?project_id=project-palette 200 in 4ms (compile: 717µs, render: 4ms)
 GET /missions/mission-palette 200 in 562ms (compile: 556ms, render: 6ms)
 GET /missions/mission-palette 200 in 5ms (compile: 1045µs, render: 4ms)
 GET /missions/mission-palette 200 in 5ms (compile: 941µs, render: 4ms)
 GET /missions/mission-palette 200 in 5ms (compile: 1069µs, render: 4ms)
 GET /missions/mission-palette 200 in 4ms (compile: 714µs, render: 4ms)
 GET /missions/mission-palette 200 in 5ms (compile: 929µs, render: 4ms)
[baseline-browser-mapping] The data in this module is over two months old.  To ensure accurate Baseline data, please update: `npm i baseline-browser-mapping@latest -D`
[?25h
