id,usage,theme,state,base_token,derived_token,delta_l_min,delta_l_max,delta_c_min,delta_c_max,delta_h_max,contrast_foreground_token,contrast_background_token,contrast_threshold,check_type,source,target
filled_surface_light_hover,filled_surface,light,hover,theme.surface.interactive.primary.default,theme.surface.interactive.primary.hover,-0.12,-0.08,0.01,0.02,1,sys.text.on_interactive,,4.5,relative-color,,
filled_surface_light_pressed,filled_surface,light,pressed,theme.surface.interactive.primary.default,theme.surface.interactive.primary.pressed,-0.15,-0.12,0.02,0.03,1,sys.text.on_interactive,,4.5,relative-color,,
filled_surface_dark_hover,filled_surface,dark,hover,theme-dark.surface.interactive.primary.default,theme-dark.surface.interactive.primary.hover,0.08,0.12,0.01,0.02,1,theme-dark.text.on_interactive,,4.5,relative-color,,
filled_surface_dark_pressed,filled_surface,dark,pressed,theme-dark.surface.interactive.primary.default,theme-dark.surface.interactive.primary.pressed,0.12,0.15,0.02,0.03,1,theme-dark.text.on_interactive,,4.5,relative-color,,
filled_surface_sys_hover,filled_surface,system,hover,sys.surface.interactive.primary.default,sys.surface.interactive.primary.hover,-0.12,-0.08,0.01,0.02,1,sys.text.on_interactive,,4.5,relative-color,,
filled_surface_sys_pressed,filled_surface,system,pressed,sys.surface.interactive.primary.default,sys.surface.interactive.primary.pressed,-0.15,-0.12,0.02,0.03,1,sys.text.on_interactive,,4.5,relative-color,,
reference_primary_ramp-monotonicity,,,,,,,,,,,,,,ramp-monotonicity,packages/tokens/src/tokens/base/reference,ref.color.primary
reference_primary_family-hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/base/reference,ref.color.primary
reference_primary_chroma-curve,,,,,,,,,,,,,,chroma-curve,packages/tokens/src/tokens/base/reference,ref.color.primary
reference_accent_ramp-monotonicity,,,,,,,,,,,,,,ramp-monotonicity,packages/tokens/src/tokens/base/reference,ref.color.accent
reference_accent_family-hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/base/reference,ref.color.accent
reference_accent_chroma-curve,,,,,,,,,,,,,,chroma-curve,packages/tokens/src/tokens/base/reference,ref.color.accent
reference_neutral_ramp-monotonicity,,,,,,,,,,,,,,ramp-monotonicity,packages/tokens/src/tokens/base/reference,ref.color.neutral
reference_neutral_neutral-hue,,,,,,,,,,,,,,neutral-hue,packages/tokens/src/tokens/base/reference,ref.color.neutral
reference_neutral_chroma-curve,,,,,,,,,,,,,,chroma-curve,packages/tokens/src/tokens/base/reference,ref.color.neutral
reference_info_ramp-monotonicity,,,,,,,,,,,,,,ramp-monotonicity,packages/tokens/src/tokens/base/reference,ref.color.info
reference_info_family-hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/base/reference,ref.color.info
reference_info_chroma-curve,,,,,,,,,,,,,,chroma-curve,packages/tokens/src/tokens/base/reference,ref.color.info
reference_success_ramp-monotonicity,,,,,,,,,,,,,,ramp-monotonicity,packages/tokens/src/tokens/base/reference,ref.color.success
reference_success_family-hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/base/reference,ref.color.success
reference_success_chroma-curve,,,,,,,,,,,,,,chroma-curve,packages/tokens/src/tokens/base/reference,ref.color.success
reference_warning_ramp-monotonicity,,,,,,,,,,,,,,ramp-monotonicity,packages/tokens/src/tokens/base/reference,ref.color.warning
reference_warning_family-hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/base/reference,ref.color.warning
reference_warning_chroma-curve,,,,,,,,,,,,,,chroma-curve,packages/tokens/src/tokens/base/reference,ref.color.warning
reference_critical_ramp-monotonicity,,,,,,,,,,,,,,ramp-monotonicity,packages/tokens/src/tokens/base/reference,ref.color.critical
reference_critical_family-hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/base/reference,ref.color.critical
reference_critical_chroma-curve,,,,,,,,,,,,,,chroma-curve,packages/tokens/src/tokens/base/reference,ref.color.critical
reference_archive_ramp-monotonicity,,,,,,,,,,,,,,ramp-monotonicity,packages/tokens/src/tokens/base/reference,ref.color.archive
reference_archive_family-hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/base/reference,ref.color.archive
reference_archive_chroma-curve,,,,,,,,,,,,,,chroma-curve,packages/tokens/src/tokens/base/reference,ref.color.archive
reference_gamut,,,,,,,,,,,,,,gamut,packages/tokens/src/tokens/base/reference,ref.color
A_base_surface.interactive.primary_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/base.json,color.brand.A.surface.interactive.primary
A_base_accent_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/base.json,color.brand.A.accent
A_base_status.info_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/base.json,color.brand.A.status.info
A_base_status.success_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/base.json,color.brand.A.status.success
